ID Khách hàng,ID Nhân viên,Class_Customer,Tổng Doanh số
AEA,HOANTRAN,A,386943000
ANGAU,HOANTRAN,A+,1275066000
ANHAN,HOANTRAN,B,325242000
ANHCHINH-AT,HOANVU,A,604933000
ANHCUONG,HOANTRAN,A+,982223000
ANHDAU,HOANTRAN,A,632310000
ANHDUAN,HOANTRAN,A,366270100
ANHDUNG-DT,HOANTRAN,C,63188874
ANHHAI,HOANVU,C,46000000
ANHHOANG,HOANTRAN,C,3680000
ANHHUY,HOANTRAN,B,182670000
ANHKINHDN,HOANVU,C,74550000
ANHLONGBMT,HOANTRAN,A,435824000
ANHPHONG,HOANTRAN,A,499609000
ANHTAN,HOANVU,A,711243000
ANHTHAI,HOANTRAN,A,543454000
ANHTUANCM,HOANTRAN,A,336315000
ANHVANG,HOANVU,A,652930000
ANNGOCMINH,HOANVU,C,15548110
ASCSG,HOANVU,VIP,1883597000
ATUSG,HOANTRAN,A,407900000
BAYBE,HOANVU,C,3120000
CHIENHAO,HOANVU,C,81600000
CHITHUYBD,HOANTRAN,A,381149000
CHPT-ANNHIEN,HOANTRAN,VIP,2454736000
CHPT-HOANGLONG,HOANTRAN,C,131996000
CHPT-MINHANH,HOANTRAN,VIP,1743263000
CHPT-MINHPHUOC,HOANVU,C,62990000
CHPT-TANTAN,HOANVU,B,144390000
CHPT-THONGNHAT,HOANTRAN,C,129144000
CHPT-VUGIA,CONGTY_VAPC,A,534118270
CHUBASG,HOANTRAN,B,226600000
CHULANG,HOANVU,C,1620000
CHULOISG,HOANTRAN,C,13650000
COBACH,HOANVU,C,4080000
DACYEN,HOANTRAN,C,22220000
DAIAN,HOANVU,C,110300000
DAIDUONG,HOANVU,A,717266000
DAU-ANHTINH,HOANVU,C,2760000
DUCBMT,HOANVU,B,266186000
GARAGETHANHTAI,HOANVU,B,197885000
GARAHIEPTHANH,HOANVU,B,222933000
GARA-TIENNGUYEN,HOANTRAN,A,379485000
HAHAU,HOANTRAN,A+,843860000
HAIDAO,CONGTY_VAPC,VIP,2612425760
HANGCANTHO,HOANTRAN,C,92400000
HIENBARIA,HOANTRAN,A,739600000
HIENCANTHO,HOANVU,A,494371000
HIENSUHY,HOANVU,C,8600000
HOANVU,HOANVU,C,622000
HTAUTOHN,HOANTRAN,A+,888681000
HUNGLOI-CT,HOANVU,B,289640000
HUNGUUTHINH,HOANVU,B,243344000
HUUHANH,HOANVU,VIP,1523035000
HUYNHTANVT,HOANTRAN,B,302320000
KAIZEN,HOANVU,A+,1210309000
KCN-THANHTHUONG,HOANTRAN,A+,830422310
KHACHLE-HOANTRAN,HOANTRAN,A,515960100
KHACHLE-HOANVU,HOANVU,A+,1057005000
KHANHTOAN,CONGTY_VAPC,B,165856000
KIET-CHUBA,HOANTRAN,VIP,2822604000
KIMTHU,HOANVU,C,47310000
KL-ANHCUONG-GL,HOANVU,C,22600000
KL-ANHDANG,HOANVU,A,441542000
KL-ANHGIANG,HOANVU,C,8350000
KL-ANHHAI,HOANVU,C,4400000
KL-ANHHOAI,HOANVU,C,29470000
KL-ANHHOANG,HOANTRAN,A,458570000
KL-ANHHUNG,HOANTRAN,C,70110000
KL-ANHKHAI,HOANVU,C,2650000
KL-ANHKHANG,HOANVU,B,234100000
KL-ANHKY,CONGTY_VAPC,C,1600000
KL-ANHLAP305,HOANTRAN,C,35040000
KL-ANHLONG,HOANTRAN,C,67340000
KL-ANHNHAN,HOANTRAN,C,50614000
KL-ANHNHUONG,HOANTRAN,C,43490000
KL-ANHNIEM,HOANTRAN,C,132480000
KL-ANHSAM,HOANVU,C,2170000
KL-ANHSANG,HOANVU,C,2050000
KL-ANHTAMDEN,HOANTRAN,A,743920000
KL-ANHTHAN,HOANVU,C,10350000
KL-ANHTHONG,HOANVU,C,174000
KL-ANHTINHCT,HOANVU,A,360575000
KL-ANHTOANPY,HOANVU,C,2140000
KL-ANHTUNG,HOANVU,B,139128000
KL-ANHVINH,HOANVU,C,15630000
KL-ANHVU,HOANVU,C,4980000
KL-ANPHUC,HOANVU,B,189050000
KL-AUTO79,HOANVU,C,15130000
KL-AUTOBEN,HOANTRAN,C,26590000
KL-AUTOLINH,HOANVU,C,1040000
KL-AUTOMAX,HOANVU,C,21600000
KL-AUTOMEX,HOANTRAN,C,26450000
KL-AUTOVIET,CONGTY_VAPC,C,4160000
KL-BAMIEN,HOANTRAN,C,87764000
KL-BAONGUYEN,HOANVU,C,6100000
KL-BATHANH,HOANVU,B,195657000
KL-CCMFAST,HOANVU,C,98551000
KL-CHILIEU,HOANVU,C,14793000
KL-CHINNGHIA,HOANVU,C,85100000
KL-CHITUSG,HOANVU,C,16876000
KL-CHPT292,HOANTRAN,C,45640000
KL-CHPT-ANHVU,HOANVU,C,5732000
KL-CHPT-MINHQUAN,HOANVU,C,2550000
KL-CHPT-SONTUNG,HOANVU,C,11644000
KL-CHUHUNG,HOANVU,C,43970000
KL-CHUTHANG,HOANVU,C,23710000
KL-CONGDANH,HOANVU,B,265886000
KL-CONGTHUAN,HOANVU,C,16770000
KL-DAITHANH,HOANVU,C,96270000
KL-DONGTIN,HOANTRAN,C,21420000
KL-DUCTHANH,HOANVU,C,49400000
KL-DUCTRI,HOANVU,C,10550000
KL-DUCVIET,HOANVU,A,390850000
KL-DUNG,HOANTRAN,C,26500000
KL-DUNGTRA,HOANTRAN,C,22720000
KL-DUONGTKD,HOANTRAN,C,3200000
KL-DUYTHUC,HOANVU,C,4510000
KLE-HOANVU,HOANVU,C,17365000
KL-FORDHOANGGIA,HOANVU,C,45340000
KL-GARAANHLOC,HOANVU,C,73980000
KL-GARAANHSANG,HOANVU,C,40165000
KL-GARAANHTUNG,HOANTRAN,C,69820000
KL-GARADOCTORCAR,HOANVU,C,6700000
KL-GARAHITECH,HOANTRAN,C,16552000
KL-GARAPHONG,HOANTRAN,C,81610000
KL-GARAQUANGDANG,HOANVU,C,26190000
KL-GARASONGHOANG,HOANVU,C,73890000
KL-GARATAM,HOANTRAN,C,30770000
KL-GARATHAIBINH,HOANVU,C,17740000
KL-GARATOANTHANG,HOANVU,C,6900000
KL-GARAVUI,HOANTRAN,C,29130000
KL-GIAPHAT,HOANTRAN,C,30110000
KL-HAITIEN,HOANVU,C,15530000
KL-HAPHUONG,HOANVU,C,6460000
KL-HIEPLOI-BD,HOANTRAN,C,77690000
KL-HIEUPHAT-TM,HOANVU,C,7630000
KL-HOANGBACH,HOANVU,C,9480000
KL-HOANGCHI,HOANTRAN,C,64350000
KL-HOANGGIASG,HOANVU,C,36470000
KL-HOANGPHAT,HOANVU,C,10300000
KL-HOANGQUAN-LD,HOANVU,C,68091000
KL-HONGNGOC,HOANVU,B,165980000
KL-HOPTHANH,HOANVU,C,3700000
KL-HUNG,HOANTRAN,B,227218000
KL-HUNGPHAT,HOANVU,C,9280000
KL-HUUTIEN,HOANVU,C,63144000
KL-KEOMAI,HOANTRAN,C,75000000
KL-KHAIGIAU,HOANTRAN,C,64520000
KL-KHANHHIEN,HOANTRAN,C,8130000
KL-KIMCUONG,HOANTRAN,B,151790000
KL-LAM-VL,HOANTRAN,C,43020000
KL-LEVAN,HOANVU,C,2350000
KL-LIEMNGUYEN,HOANTRAN,C,18500000
KL-LIEMTUYET-PT,HOANTRAN,C,43107250
KL-LINH,HOANVU,C,3640000
KL-MANHCUONG,HOANVU,C,200000
KL-MAST-SG,HOANTRAN,C,69070000
KL-MINHCHAU,HOANVU,C,30230000
KL-MINHPHAT,HOANTRAN,A,520200000
KL-MINHTRUONG-NT,HOANTRAN,C,16480000
KL-MITSU,HOANTRAN,C,25675000
KL-MUOIPHAI,HOANTRAN,C,6948000
KL-NGOCHA,HOANVU,C,1090000
KL-NGOCHANH,CONGTY_VAPC,C,1500000
KL-NGUYENHA,HOANTRAN,C,122991000
KL-NHATBENTHANH,HOANVU,B,313353000
KL-NHIENLIEUGL,HOANTRAN,C,20636000
KL-PHUONGLINH,HOANVU,C,2250000
KL-PHUTUNG126,HOANVU,C,1060000
KL-PHUTUNGCHINH,HOANTRAN,C,32440000
KL-QUANCUONGPHAT,HOANTRAN,C,14816000
KL-QUANGDINH,HOANVU,C,2680000
KL-QUANGSAIGON,HOANTRAN,VIP,3240055000
KL-QUOCMINH-CT,HOANVU,C,6400000
KL-QUOCTRUNG,HOANVU,C,9310000
KL-QUOCVIET,HOANVU,C,48935000
KL-SONGTOAN,HOANVU,C,4190000
KL-SYGL,HOANVU,C,27908000
KL-TAMAUTO,HOANVU,C,1400000
KL-TAMTHANVO,HOANVU,C,8460000
KL-TANDAT,HOANVU,C,15000000
KL-TANPHU,HOANVU,C,59250000
KL-TANTHEAUTO,HOANTRAN,B,188635000
KL-TH(TTL),HOANTRAN,B,240630000
KL-THANHCUONG,HOANVU,C,5600000
KL-THANHHIEP,HOANTRAN,C,440000
KL-THANHNGHIEP,HOANTRAN,C,32275000
KL-THANHNHAN,HOANVU,C,29085000
KL-THANHPHUC,HOANVU,C,11160000
KL-THIENCHI,HOANTRAN,C,27660000
KL-THIENPHU,HOANVU,C,128678000
KL-THOIKHOI,HOANVU,C,2990000
KL-THUANPHONG,HOANTRAN,C,102570000
KL-TIENDU-NT,HOANVU,C,31830000
KL-TIENHOANGAUTO,HOANVU,C,750000
KL-TIENNGUYET,HOANVU,C,28820000
KL-TIENPHAT,HOANTRAN,B,151550000
KL-TIENTHUY,HOANVU,C,2000000
KL-TONTHANH,HOANTRAN,C,27220000
KL-TRUNGHIEU,HOANVU,C,5350000
KL-TRUONGVINH,HOANTRAN,C,72633000
KL-VANDUCPHAT,HOANVU,C,1700000
KL-VIA,HOANVU,B,296787000
KL-VIETLONG-CTY,HOANVU,C,39305000
KL-VINHQUANG,HOANTRAN,C,22020000
KL-XUANHIEN,HOANVU,C,11000000
KYNGUYENSG,HOANTRAN,B,191490000
LIEMHOANG,CONGTY_VAPC,C,15365000
MITSUHALONG,CONGTY_VAPC,C,27060000
NAMPHAT,HOANVU,B,297513000
NCC-MANHTUNG,CONGTY_VAPC,A,379650000
NCC-TATHANHTUAN,HOANVU,C,10500000
NHUEFORD,HOANVU,C,45750000
NN-ABANG,HOANVU,C,105940000
NN-ANHHIEU,HOANVU,A,599063000
NN-ANHTAI,HOANTRAN,B,292745000
NN-ANHTUYEN_BH,HOANVU,B,164960000
NN-ANHTUYEN-PQ,HOANVU,C,106664000
NN-CARSPA,HOANVU,C,50528000
NN-CHINGUYET,HOANTRAN,B,210840000
NN-CHITHAM,HOANTRAN,C,15500000
NN-CHIVAN,HOANTRAN,B,151925000
NN-CHPT-BINHLINH,HOANVU,C,22650000
NN-CHPT-DUYLAI,HOANVU,C,2860000
NN-CHPT-TAY,HOANVU,C,102347000
NN-DSP,HOANTRAN,C,23396000
NN-DUCLONG,CONGTY_VAPC,A,608733400
NN-DUOCPHAT,HOANVU,C,109584000
NN-FUSON,HOANVU,B,155160000
NN-GARATIEN,HOANTRAN,C,72280000
NN-HOANGPHATTIEN,HOANTRAN,A,435135000
NN-HUNGCUONGBP,HOANVU,C,52495000
NN-HUNGTHINH-TN,HOANTRAN,B,263150000
NN-HUYNHVAN,HOANTRAN,A+,940380000
NN-LEMINH,HOANVU,B,316760000
NN-LEQUANG,HOANVU,B,171585000
NN-MI,HOANTRAN,A,527791000
NN-MINHLUANTN,HOANVU,C,49150000
NN-QUANGDEN,HOANTRAN,C,53790000
NN-QUYEN,HOANTRAN,VIP,1425550300
NN-SEDANVIET,HOANVU,C,123020000
NN-TOANY,HOANVU,B,173214000
NN-TUTRANG,HOANTRAN,C,67404000
PHAT,HOANVU,A,595078500
PHUCTHANH,HOANTRAN,B,262060000
PHUONGHOANG,CONGTY_VAPC,C,84603000
PHUONGHUONGBR,HOANVU,B,254263000
PHUSY,HOANTRAN,A,626984000
PHUTHONG,CONGTY_VAPC,A,411860000
PHUTUNGATSG,HOANVU,A+,972725400
QUANGHUNGCT,HOANVU,C,1880000
QUANGVU,HOANTRAN,A,538060000
QUOCHUNG-KT,HOANTRAN,A,371528000
QUOCHUY,HOANVU,A,445424000
SAUCHIEU,HOANTRAN,C,114488640
SENGDUNGSG,HOANVU,C,111720000
TANHA,HOANVU,C,87240000
TAYNAMBO,HOANVU,C,2560000
THANGSAU,CONGTY_VAPC,VIP,1797280000
THANHDUC,HOANTRAN,A,636612000
THANHPHONG,HOANVU,A,501175300
THANHPHUONG,HOANVU,A+,954377000
THUANHOAKHANG,HOANVU,B,171480000
THUANPHAT,HOANVU,A,759734000
TRANGHOANGPHAT,HOANTRAN,C,8040000
TRANGSG,HOANTRAN,C,18600000
TRITIN,HOANVU,A,556692000
TRUNGBMT,HOANVU,B,334026000
TRUNGNAM-VT,HOANTRAN,C,35635000
TRUNGNUOCMATBMT,HOANVU,C,106030000
TUANGL,HOANTRAN,C,10940000
TUANPHONG,HOANVU,A,770072000
VANGHUYNH,CONGTY_VAPC,C,24296000
VANPHAT,HOANTRAN,B,290965000
