ID,Nhà sản xuất,Số lượng cần nhập,Unit Price,Unit Price VND,Nhà sản xuất dự phòng,Unit Price Dự phòng,Tổng nhập,Tổng xuất,Tổng tồn,Giá vốn,Giá vốn mới,Giá mặc cả,Giá mặc cả USD,Giá bán,Giá giảm,ID Nhà cung cấp,Ngày nhập,Đơn giá nhập
04465-YZZQ6-82,"3, CAMPAIGN USD SPEC",500,30.58,829246,,,679,789,117,645382.2,517035,584250,21.54,800000,700000,NK-TRISTAN,2022-04-21 00:00:00,615000
11115-0Y030,"3, CAMPAIGN USD SPEC",50,10.04,272243,,,25,34,6,240766.5,199797,225770,8.32,400000,400000,NK-IDAS,2022-07-26 00:00:00,237653
12305-0Y060,"3, CAMPAIGN USD SPEC",30,29.42,797954,,,10,10,0,657395.8,552678,624526,23.03,1250000,,NK-IDAS,2022-04-05 00:00:00,657967
13101-75120,"3, CAMPAIGN USD SPEC",80,23.37,633669,,,8,68,1,512529.5,406192,458997,16.92,700000,,NK-IDAM,2021-11-02 00:00:00,483155
31210-0D190,"3, CAMPAIGN USD SPEC",100,22.79,618023,,,107,116,3,424830.1,349792,395265,14.57,980000,650000,NK-IDAS,2022-08-19 00:00:00,416068
45503-09331,"3, CAMPAIGN USD SPEC",100,24.77,671742,,,61,56,5,1048417.9,853351,964287,35.56,1380000,1380000,NK-TS,2022-02-26 00:00:00,964287
45503-0K070,"3, CAMPAIGN USD SPEC",200,25.64,695315,,,100,103,105,894507.7,745537,842457,31.06,1150000,1150000,NK-IDAM,2022-07-22 00:00:00,842457
45503-0K130,"3, CAMPAIGN USD SPEC",20,36.30,984456,,,8,4,4,1025622.0,907630,1025622,37.82,1620000,,NK-CHI,2022-05-13 00:00:00,1025622
48510-BZC90,"3, CAMPAIGN USD SPEC",20,28.56,774485,,,0,0,1,0.0,,,,900000,,,,
48520-BZ830,"3, CAMPAIGN USD SPEC",20,28.56,774485,,,0,0,1,0.0,,,,900000,,,,
48530-8Z036,"3, CAMPAIGN USD SPEC",1000,22.50,610200,,,1317,1202,272,416383.1,338292,382271,14.10,530000,500000,NK-IDAS,2022-08-19 00:00:00,402390
48531-09430,"3, CAMPAIGN USD SPEC",5000,22.50,610200,,,1410,1464,50,425391.6,338292,382271,14.10,510000,490000,NCC-LIENVIET,2022-08-31 00:00:00,402390
48531-09A50,"3, CAMPAIGN USD SPEC",5000,22.50,610200,,,2836,3174,16,429504.8,338292,382271,14.10,520000,490000,HTAUTOHN,2022-08-31 00:00:00,402390
48815-0K090,"3, CAMPAIGN USD SPEC",100,3.27,88766,,,,,,,,,,150000,,HTAUTOHN,2021-02-02 00:00:00,115000
48820-0D020,"3, CAMPAIGN USD SPEC",20,28.06,761029,,,22,16,8,733815.0,580147,655566,24.17,960000,,NK-TS,2022-02-26 00:00:00,655566
81105-0K130,"3, CAMPAIGN USD SPEC",100,57.12,1548969,,,6,125,1,1126052.3,915373,1034371,38.14,1450000,1400000,NK-IDAM,2021-11-02 00:00:00,1088812
81130-0K310,"3, CAMPAIGN USD SPEC",300,57.12,1548969,,,159,262,36,1298282.8,1021052,1153789,42.54,1650000,1600000,NK-IDAM,2022-09-12 00:00:00,1214515
81130-0K530,"3, CAMPAIGN USD SPEC",400,64.62,1752369,,,86,210,0,1195687.5,1005224,1135903,41.88,1560000,,NK-IDAM,2021-11-30 00:00:00,1195688
81170-0K310,"3, CAMPAIGN USD SPEC",300,57.12,1548969,,,43,209,74,1230519.9,905392,1023093,37.72,1600000,1450000,NK-IDAM,2021-11-02 00:00:00,1076940
81170-0K530,"3, CAMPAIGN USD SPEC",400,64.62,1752369,,,72,203,0,1195687.5,1005224,1135903,41.88,1560000,1450000,NK-IDAM,2021-11-30 00:00:00,1195688
81561-0K210,"3, CAMPAIGN USD SPEC",100,33.75,915300,,,64,201,108,760648.8,534522,604010,22.27,950000,900000,NK-TRISTAN,2021-08-05 00:00:00,635800
90080-91232,"3, CAMPAIGN USD SPEC",20,2.54,68843,,,28,23,10,31780.6,20253,22886,0.84,140000,100000,NK-TS,2022-02-26 00:00:00,24090
90080-92014,"3, CAMPAIGN USD SPEC",100,3.35,90748,,,503,303,318,67608.2,51464,58154,2.14,130000,100000,NK-IDAM,2022-09-12 00:00:00,61215
90363-T0008,"3, CAMPAIGN USD SPEC",100,12.60,341712,,,114,78,36,304238.8,248658,280983,10.36,420000,420000,NK-IDAS,2022-07-26 00:00:00,295772
90385-T0004,"3, CAMPAIGN USD SPEC",400,0.98,26598,,,200,271,46,20165.9,12120,13696,0.51,40000,40000,CHPT-MINHANH,2022-06-20 00:00:00,14417
90916-T2039,"3, CAMPAIGN USD SPEC",500,15.29,414623,,,803,1207,229,254381.9,180758,204257,7.53,430000,295000,NK-IDAM,2022-07-22 00:00:00,215007
90919-T2011,"3, CAMPAIGN USD SPEC",800,23.94,649315,,,7,188,22,394548.7,308807,348952,12.87,600000,500000,NK-IDAM,2021-11-30 00:00:00,367318
90916-T2028,FOB SEPTEMBER,300,26.80,726816,TASTI,27.200000000000003,221,134,271,173671.1,124563,140757,5.19,230000,210000,NCC-THAILAND,2022-05-31 00:00:00,148165
04371-0K110,TASTI,500,29.22,792446,FOB SEPTEMBER,29.81,115,115,0,461030.5,353334,399268,14.72,650000,550000,NK-TS,2022-02-26 00:00:00,420282
04465-YZZQ7,TASTI,1000,39.99,1084529,FOB SEPTEMBER,40.81,760,699,132,1020108.7,762142,861220,31.76,1200000,1100000,HTAUTOHN,2022-09-14 00:00:00,861220
04495-YZZZ2,TASTI,1000,15.94,432293,FOB SEPTEMBER,16.32,258,478,1,364419.4,290334,328078,12.10,510000,450000,NK-IDAS,2022-07-26 00:00:00,345345
13011-0C010,TASTI,300,23.08,625930,FOB SEPTEMBER,23.36,514,590,290,540758.6,434588,491084,18.11,800000,600000,NK-IDAS,2022-07-26 00:00:00,516931
17801-0L050,TASTI,200,14.65,397308,FOB SEPTEMBER,14.89,89,107,17,358674.7,284042,320967,11.84,600000,600000,NK-IDAM,2022-07-22 00:00:00,337860
27415-0L030,TASTI,1000,39.51,1071511,FOB SEPTEMBER,40.32,938,730,214,619530.3,460102,519915,19.17,800000,640000,HTAUTOHN,2022-09-14 00:00:00,547279
31250-0A011,TASTI,200,33.05,896316,FOB SEPTEMBER,33.72,789,741,153,738936.7,612061,691629,25.50,950000,880000,NK-IDAS,2022-08-19 00:00:00,728030
31250-0B021,TASTI,100,34.72,941606,FOB SEPTEMBER,35.43,85,93,7,784679.7,641760,725189,26.74,1100000,1050000,NK-IDAS,2022-08-19 00:00:00,763357
45503-0K040,TASTI,40,37.70,1022424,FOB SEPTEMBER,37.97,40,22,18,819915.0,689309,778919,28.72,,1250000,NK-IDAS,2022-08-19 00:00:00,819915
48510-8Z244,TASTI,4000,28.02,759902,FOB SEPTEMBER,28.59,2176,2597,0,636313.9,0,0,0.00,800000,730000,GIANGDAO,2022-09-09 00:00:00,0
48520-09Q22,TASTI,100,39.75,1078020,FOB SEPTEMBER,40.56,400,195,337,949506.9,720419,814074,30.02,1200000,1100000,NK-IDAM,2022-09-12 00:00:00,856920
48609-0K020,TASTI,50,12.26,332491,FOB SEPTEMBER,12.41,42,53,21,287560.0,231463,261553,9.64,480000,480000,NK-IDAM,2022-07-22 00:00:00,275319
90082-93003,TASTI,100,1.44,39053,FOB SEPTEMBER,1.47,354,287,177,32348.5,26706,30178,1.11,80000,80000,NK-IDAS,2022-07-26 00:00:00,31766
99332-51030,TASTI,100,3.74,101429,FOB SEPTEMBER,3.81,142,185,165,84596.3,69212,78210,2.88,110000,,NK-IDAM,2021-12-15 00:00:00,82326
16363-0Y050,TMC,800,38.00,1030560,"3, CAMPAIGN USD SPEC",43.84615384615385,325,430,44,864746.1,648485,732788,27.02,1200000,1050000,NK-IDAS,2022-07-26 00:00:00,771356
17801-YZZA1,TMC,200,13.70,371447,TASTI,14.129999999999999,40,176,302,299507.0,241589,272996,10.07,450000,400000,NK-IDAM,2021-08-04 00:00:00,287364
31210-0K101,TMC,3000,42.00,1139040,"3, CAMPAIGN USD SPEC",48.46153846153846,1151,1850,173,922934.8,758968,857633,31.62,1200000,1050000,NK-IDAM,2022-04-12 00:00:00,902772
31210-0K131,TMC,200,54.32,1473197,"3, CAMPAIGN USD SPEC",67.5,116,47,86,1231890.2,944625,1067426,39.36,1670000,1550000,NK-IDAM,2022-09-12 00:00:00,1123606
31210-0K320,TMC,300,47.14,1278514,,,100,85,15,1109581.3,932834,1054102,38.87,1550000,1450000,NK-IDAM,2022-07-22 00:00:00,1109581
31250-0K320,TMC,300,62.68,1699843,,,730,847,53,1387874.8,1062571,1200705,44.27,1850000,1600000,NK-IDAM,2022-09-12 00:00:00,1263900
48510-8Z265,TMC,1000,19.50,528840,,,6881,10278,130,447928.5,368835,416784,15.37,550000,460000,NK-IDAS,2022-08-19 00:00:00,438720
48520-8Z125,TMC,1000,19.50,528840,,,6811,10323,8,447760.9,368835,416784,15.37,550000,460000,NK-IDAS,2022-08-19 00:00:00,438720
90916-T2014,TMC,100,10.25,277980,,,202,165,246,237966.3,188960,213525,7.87,400000,400000,NK-IDAM,2022-07-22 00:00:00,224763
90916-T2026,TMC,600,11.38,308490,"3, CAMPAIGN USD SPEC",14.134615384615385,436,349,244,254723.6,204248,230801,8.51,420000,400000,NK-IDAM,2022-09-12 00:00:00,242948
90919-01059,TMC,500,0.83,22374,,,2210,2290,499,17735.1,14515,16402,0.60,35000,25000,NK-IDAM,2022-05-10 00:00:00,17265
90919-T1002,TMC,20000,0.88,23866,,,50614,43100,13466,19877.2,15892,17958,0.66,28000,23000,NK-IDAM,2022-09-12 00:00:00,18903
90919-T1004,TMC,10000,0.88,23866,,,34190,37659,4119,19355.3,15772,17822,0.66,28000,23000,NK-IDAM,2022-05-10 00:00:00,18760
